,taxon,scp_h,scp_lat,flws_n,spt_long,spt_lat,ped_long,ped_lat,ov_long,ov_lat,perig_form,perig_long,perig_diam,tub_lat,tep1_long,tep1_lat,tep3_long,tep3_lat,color,fil1_long,fil2_long,ant_long,est_long,est_form,coron_typ
55,P21_Phycella_cyrtanthoides_P002_WA01,45.0,,5,,,27.0,1.5,6.0,4.0,0,46.0,9.0,3.5,47.0,9.5,46.0,11.0,0,40.0,36.0,4.0,33.0,0,1
56,P21_Phycella_cyrtanthoides_P002_WB01,35.0,5.0,4,,,15.0,2.0,7.0,4.0,0,42.0,9.0,4.0,48.0,10.0,42.0,11.0,0,41.0,38.0,4.0,47.0,0,1
57,P22_Phycella_cyrtanthoides_P002_WD01,76.0,9.0,7,30.0,5.0,48.0,1.0,10.0,7.0,0,56.0,15.0,4.5,54.0,11.0,53.0,12.0,0,55.0,52.0,3.0,65.0,0,0
58,P23_Phycella_cyrtanthoides_P002_WF01,75.0,7.0,6,,,21.0,2.0,11.0,5.0,0,60.0,10.0,4.5,59.0,15.0,61.0,12.0,0,51.0,46.0,4.5,68.0,0,0
59,P23_Phycella_cyrtanthoides_P002_WG01,45.0,4.0,3,,,36.0,2.0,8.0,5.0,0,52.0,9.0,5.0,62.0,16.0,62.0,13.0,0,53.0,48.0,4.0,58.0,0,0
60,P24_Phycella_cyrtanthoides_P002_WH01,66.0,5.0,4,,,40.0,2.0,8.0,4.0,0,65.0,11.0,4.0,65.0,13.0,68.0,13.0,0,58.0,53.0,4.0,75.0,0,0
61,P24_Phycella_cyrtanthoides_P002_WA02,44.0,4.0,4,,,45.0,,,,0,65.0,13.0,4.0,71.0,15.0,72.0,14.0,0,61.0,58.0,4.0,77.0,0,0
62,P25_Phycella_cyrtanthoides_P002_WC02,41.0,5.0,6,50.0,14.0,24.0,2.0,9.0,4.0,0,52.0,19.0,7.0,54.0,13.0,57.0,11.0,0,48.0,45.0,3.5,58.0,0,0
63,P25_Phycella_cyrtanthoides_P002_WD02,28.0,3.0,4,,,,,,,0,50.0,11.0,4.0,55.0,14.0,54.0,13.0,0,48.0,44.0,4.0,58.0,0,0
64,P26_Phycella_cyrtanthoides_P002_WE02,47.0,6.0,4,40.0,,17.0,3.0,11.0,6.0,0,61.0,9.0,4.5,62.5,12.0,61.0,12.5,0,57.0,51.0,4.5,64.0,0,0
65,P26_Phycella_cyrtanthoides_P002_WF02,56.0,5.0,4,,,45.0,2.5,9.0,5.5,0,63.0,9.0,6.0,64.0,15.0,64.0,13.0,0,57.0,50.0,,66.0,0,0
66,P27_Phycella_cyrtanthoides_P002_WH02,47.0,7.0,6,42.0,14.0,35.0,2.0,7.0,5.0,0,46.0,10.0,4.0,47.0,11.0,47.0,11.5,0,48.0,45.0,4.0,53.0,0,0
67,P27_Phycella_cyrtanthoides_P002_WA03,60.0,7.0,6,,,35.0,2.0,9.0,4.0,0,43.0,12.0,4.0,47.0,11.5,45.0,14.5,0,48.0,42.0,4.0,54.0,0,1
68,P28_Phycella_chilensis_P002_WC03,33.0,2.5,1,32.0,5.0,44.0,1.0,7.0,4.0,1,62.0,,3.5,62.0,,55.0,13.0,0,,,4.0,48.0,1,1
69,P30_Phycella_cyrtanthoides_P002_WG03,35.0,6.5,4,,,40.0,2.0,8.0,4.0,0,55.0,20.0,4.0,60.0,9.0,58.0,8.5,0,73.0,63.0,,76.0,0,0
70,P30_Phycella_cyrtanthoides_P002_WH03,58.0,6.0,4,44.0,5.0,60.0,3.0,9.0,5.0,0,63.0,27.0,,70.0,13.0,71.0,11.0,0,61.0,55.0,,72.0,0,0
71,P30_Phycella_cyrtanthoides_P002_WA04,60.0,6.0,4,,,50.0,2.5,9.0,5.0,0,62.0,11.0,4.0,64.0,13.0,62.0,12.0,0,62.0,56.0,,72.0,0,0
72,P31_Phycella_angustifolia_P002_WB04,35.0,3.0,2,45.0,5.0,45.0,1.0,10.0,3.0,0,68.0,20.0,4.0,68.0,9.5,,,0,,,2.5,78.0,0,0
73,P31_Phycella_angustifolia_P002_WC04,45.0,2.0,2,46.0,5.0,45.0,1.0,9.0,3.0,0,70.0,25.0,3.0,65.0,9.0,,,0,61.0,67.0,2.5,73.0,0,0
74,P32_Phycella_arzae_P002_WE04,31.0,6.0,6,25.0,,51.0,2.3,6.0,4.0,1,25.0,45.0,4.0,43.0,9.0,42.0,11.5,0,25.0,19.0,2.0,30.0,1,1
75,P33_Phycella_ornata_P002_WG04,18.0,7.0,7,,,31.0,2.0,6.0,3.0,1,20.0,43.0,2.5,30.0,10.0,30.0,11.0,2,23.0,18.0,,32.0,1,4
76,P33_Phycella_ornata_P002_WH04,30.0,7.0,7,,,48.0,2.0,7.0,3.5,1,15.0,45.0,3.0,30.0,12.0,29.0,12.0,2,23.0,18.0,,28.0,1,4
77,P33_Phycella_ornata_P002_WA05,36.0,5.0,11,46.0,9.0,47.0,2.0,7.0,3.5,1,25.0,60.0,3.0,40.0,9.0,39.0,11.0,2,25.0,19.0,,38.0,1,4
78,P34_Phycella_scarlatina_P002_WB05,15.0,3.0,1,27.0,5.0,31.0,2.0,9.0,5.0,0,56.0,31.0,4.5,57.0,8.0,57.0,7.0,0,50.0,48.0,3.0,70.0,0,0
79,P34_Phycella_scarlatina_P002_WC05,13.5,3.0,1,26.0,3.0,33.0,2.0,8.0,5.5,0,52.0,16.0,5.0,57.0,7.0,55.0,7.0,0,54.0,49.0,3.0,71.0,0,0
80,P35_Phycella_lutea_P002_WE05,28.0,6.0,4,40.0,6.0,26.0,2.0,5.5,4.0,1,30.0,37.0,3.5,35.0,8.0,33.0,9.5,3,20.0,14.0,3.0,29.5,1,2
