,MDS1,MDS2,MDS3
P1_Phycella_cyrtanthoides_P001_WA1,0.104649390542267,0.0575715564286028,-0.306833852117956
P1_Phycella_cyrtanthoides_P001_WB1,0.213376172959896,-0.168356479247944,-0.161145660100477
P1_Phycella_cyrtanthoides_P001_WC1,0.19953574099018,-0.173479565489861,-0.141634029396206
P2_Phycella_cyrtanthoides_P001_WD1,0.368873440693986,0.201545049487324,-0.240178601733465
P2_Phycella_cyrtanthoides_P001_WE1,0.505731559883269,-0.254820619316066,0.144048089994284
P2_Phycella_cyrtanthoides_P001_WF1,0.439800488133256,-0.236781032199574,0.136257768494642
P3_Phycella_cyrtanthoides_P001_WG1,0.114826591909718,0.0563719632246944,-0.329517146479919
P3_Phycella_cyrtanthoides_P001_WH1,0.248144348717937,-0.176202322883182,-0.166601856530146
P3_Phycella_cyrtanthoides_P001_WA2,0.28012233568771,0.159358372758537,-0.336036426490198
P4_Phycella_cyrtanthoides_P001_WB2,0.208839650226403,0.0862633977634584,-0.347274214971389
P4_Phycella_cyrtanthoides_P001_WC2,0.163166246897261,0.092280361077768,-0.0610977103814151
P4_Phycella_cyrtanthoides_P001_WD2,0.238927579236938,-0.357038622875572,0.0324132247158881
P5_Phycella_cyrtanthoides_P001_WG2,0.327596409988955,-0.29858668411533,0.00329445381337766
P5_Phycella_cyrtanthoides_P001_WH2,0.182671655593648,0.10661604377378,-0.428117242097723
P6_Phycella_scarlatina_P001_WA3,0.256002634291971,0.277424409965805,0.258084064678473
P6_Phycella_scarlatina_P001_WB3,0.394961564723999,-0.244528315549233,0.125446673852381
P8_Phycella_amoena_P001_WA4,-0.356098902333497,-0.039669722693447,-0.0699160636830182
P8_Phycella_amoena_P001_WB4,-0.306117398236097,-0.189890199317544,0.0770346550972623
P8_Phycella_amoena_P001_WC4,-0.319433821184647,-0.2110000085362,0.0626257675257063
P9_Phycella_amoena_P001_WD4,-0.312295603053941,-0.0379354548199484,0.000761336604337355
P9_Phycella_amoena_P001_WE4,-0.30548846814934,-0.186089302676979,0.0756733319628377
P9_Phycella_amoena_P001_WF4,-0.321754066480196,-0.038007415727164,0.000828531526675917
P10_Phycella_amoena_P001_WG4,-0.35181090453463,-0.0354812886402696,0.0221464578857631
P10_Phycella_amoena_P001_WH4,-0.360482258492758,-0.044717800808755,0.0117533130250946
P10_Phycella_amoena_P001_WA5,-0.334371880493346,-0.0294850150760022,-0.0968080383540886
P11_Phycella_ornata_P001_WB5,-0.353677033547994,-0.0285994988276051,0.0106719759011063
P11_Phycella_ornata_P001_WC5,-0.364979556437217,-0.0424791343354399,0.0285343630263817
P11_Phycella_ornata_P001_WD5,-0.316064673407958,-0.00385726383755544,-0.0425886238890192
