,MDS1,MDS2,MDS3
P12_Phycella_ornata_P001_WE5,-0.346173486959635,0.00333223407285219,-0.0288658698361253
P12_Phycella_ornata_P001_WF5,-0.326161279095065,-0.0438030797113637,0.0142642796552625
P12_Phycella_ornata_P001_WG5,-0.36525688470997,-0.0164373216196501,-0.062155620962351
P13_Phycella_lutea_P001_WH5,-0.264855366596547,-0.184368515705343,0.0315437926672031
P13_Phycella_lutea_P001_WA6,-0.298041179364143,-0.197626609363027,0.0405846645447541
P14_Phycella_ornata_P001_WB6,-0.281043835402234,0.0341830164020642,-0.0734245700845333
P14_Phycella_ornata_P001_WC6,-0.297540101888593,-0.162767741217282,0.0667390042674042
P14_Phycella_ornata_P001_WD6,-0.327508831684314,0.00675365806092366,0.0471231620544958
P14_Phycella_ornata_P001_WE6,-0.264289472601956,0.0411989936853894,-0.0830255426147072
P15_Phycella_angustifolia_P001_WF6,0.347889574116471,0.303382048017158,0.247518382554372
P15_Phycella_angustifolia_P001_WG6,0.325569827721295,0.133046302486164,0.00366503406393933
P15_Phycella_angustifolia_P001_WH6,0.346574782791378,0.329514181934615,0.309497153790697
P15_Phycella_angustifolia_P001_WA7,0.346574782791378,0.329514181934615,0.309497153790697
P17_Phycella_arzae_P001_WE7,-0.301229428402549,0.0424094915519301,-0.0222474436442337
P17_Phycella_arzae_P001_WF7,-0.217302844290882,0.0617927378334819,-0.02187305695662
P17_Phycella_arzae_P001_WG7,-0.292306738733308,0.00873705799400607,0.0371589750133847
P18_Phycella_davidii_P001_WH7,-0.33181469921961,-0.0140064261552008,0.0560433337635572
P18_Phycella_davidii_P001_WA8,-0.340655945674456,0.0632643182059363,0.155292036354886
P18_Phycella_davidii_P001_WB8,-0.341934393874161,0.0544734116518481,0.161251372479453
P18_Phycella_davidii_P001_WC8,-0.299805047003704,-0.173074249083924,0.104952250670916
P19_Phycella_arzae_P001_WE8,-0.318219822479381,-0.00816902203228664,0.013609390890437
P19_Phycella_arzae_P001_WF8,-0.381239384005745,-0.0406981381572687,0.0156802354092919
P19_Phycella_arzae_P001_WG8,-0.317430660719545,-0.0043310230976881,0.0407628952892872
P20_Phycella_quilapilun_P001_WH8,-0.361336588109558,-0.00764598050608315,-0.0472346857874499
P20_Phycella_quilapilun_P001_WA9,-0.341320937508695,-0.188176216037879,0.097693586986948
P20_Phycella_quilapilun_P001_WB9,-0.319845441612259,-0.16321725029629,0.106313581093446
P20_Phycella_quilapilun_P001_WC9,-0.338942693271767,-0.00293881938298411,-0.0432894876073537
P21_Phycella_cyrtanthoides_P002_WA01,0.0985154239557094,0.051960704192958,-0.266425846315767
P21_Phycella_cyrtanthoides_P002_WB01,0.208208033359632,-0.187475633561782,-0.143267662735609
P22_Phycella_cyrtanthoides_P002_WD01,0.278247896283737,0.075287495038396,-0.165051283753164
P23_Phycella_cyrtanthoides_P002_WF01,0.29216664851203,0.128208426998221,-0.297684885520632
P23_Phycella_cyrtanthoides_P002_WG01,0.273420536428351,0.0961712343511884,-0.0460383083920781
P24_Phycella_cyrtanthoides_P002_WH01,0.452752182445628,-0.246920539941811,0.0562827416856061
P24_Phycella_cyrtanthoides_P002_WA02,0.454679876128245,-0.221533896804066,0.132873745304839
P25_Phycella_cyrtanthoides_P002_WC02,0.207338462616508,0.114238297102632,-0.232810522663016
P25_Phycella_cyrtanthoides_P002_WD02,0.315014350629115,-0.281703889600927,0.0908113212513079
P26_Phycella_cyrtanthoides_P002_WE02,0.403977017650377,-0.266114271645764,0.0547570808223924
P26_Phycella_cyrtanthoides_P002_WF02,0.421398757389712,-0.244327602774349,0.0614186850562939
P27_Phycella_cyrtanthoides_P002_WH02,0.185578193243776,0.0868386391540844,-0.270337849013521
P27_Phycella_cyrtanthoides_P002_WA03,0.190725745770342,0.114929734040718,-0.384622550215708
P28_Phycella_chilensis_P002_WC03,-0.0268961692464498,0.11369760030685,-0.0271710083957727
P30_Phycella_cyrtanthoides_P002_WG03,0.422274067600182,-0.236466864176993,0.15153367927475
P30_Phycella_cyrtanthoides_P002_WH03,0.431641560851908,-0.2347355026671,0.112325691813078
P30_Phycella_cyrtanthoides_P002_WA04,0.442497067598872,-0.244071488192345,0.0742788582244601
P31_Phycella_angustifolia_P002_WB04,0.279335820347605,0.28524399228544,0.279220031837202
P31_Phycella_angustifolia_P002_WC04,0.349010620663849,0.317755790569123,0.264945712822927
P32_Phycella_arzae_P002_WE04,-0.270232415786592,0.076011876458763,-0.173118906239301
P33_Phycella_ornata_P002_WG04,-0.368077581023621,-0.0255925082504857,0.0013017525166135
P33_Phycella_ornata_P002_WH04,-0.371201797199207,-0.0261457554310009,-0.0157525346609019
P33_Phycella_ornata_P002_WA05,-0.328505679474137,-0.000678229429491188,0.0278982303396232
P34_Phycella_scarlatina_P002_WB05,0.186882598447438,0.0953393666385505,0.0685034521380417
P34_Phycella_scarlatina_P002_WC05,0.207474255140741,0.0825905092005496,0.0644909759477605
P35_Phycella_lutea_P002_WE05,-0.26654672483354,-0.165201149918702,0.0555151846973776
P35_Phycella_lutea_P002_WF05,-0.289656026074269,0.0683115499472859,0.131084506281481
P36_Phycella_australis_P002_WH05,0.184054378613399,0.0337324224550522,-0.112209840504919
P36_Phycella_australis_P002_WA06,0.380182967593614,-0.250538228605716,0.0317410918240599
P36_Phycella_australis_P002_WB06,0.216895759271644,0.101546678427634,-0.261189335012956
P38_Phycella_chilensis_P002_WE06,-0.00920254150477529,0.286682746999368,0.0859703120791449
P38_Phycella_chilensis_P002_WF06,0.00804732407081018,-0.0267581541511646,0.024897798995262
P39_Phycella_australis_P002_WG06,0.201050950477496,0.286381314904359,0.209309977145794
P39_Phycella_australis_P002_WH06,0.134914303665871,0.0504950962683082,-0.0711733403370649
P40_Phycella_australis_P002_WB07,0.336894548347534,-0.256627267934242,0.114644637191782
P40_Phycella_australis_P002_WC07,0.306155387066781,0.164431111672289,0.0707364323515848
P41_Phycella_chilensis_P002_WE07,-0.0764422198910198,0.179915403855724,-0.00867219805423416
P41_Phycella_chilensis_P002_WF07,-0.0941171720085925,0.236458642187973,0.0778901422705309
P41_Phycella_chilensis_P002_WG07,-0.0508810708453191,0.223946803894027,0.0336042118367727
P43_Phycella_chilensis_P002_WB08,-0.0466459806400999,0.249631523229336,0.0898726227886985
P43_Phycella_chilensis_P002_WC08,-0.0462712048659204,0.205265089804958,0.0786929422028291
P45_Phycella_fulgens_P002_WG08,-0.0793828169376571,0.150072208905987,-0.0897880809095731
P45_Phycella_fulgens_P002_WH08,-0.0898773791997584,0.165823183964465,-0.113914952993214
P46_Phycella_maulensis_P002_WB09,0.0540724887966591,0.192888167033249,0.263180725531429
P46_Phycella_maulensis_P002_WC09,0.0775675557496214,0.216415488107012,0.265576243377207
P46_Phycella_maulensis_P002_WD09,0.0759568524755584,0.0198532361204249,-0.0330282316176624
