,P001_WA1,P001_WA2,P001_WA3,P001_WA4,P001_WA5,P001_WA6,P001_WA7,P001_WA8,P001_WA9,P001_WB1,P001_WB2,P001_WB3,P001_WB4,P001_WB5,P001_WB6,P001_WB7,P001_WB8,P001_WB9,P001_WC1,P001_WC2,P001_WC3,P001_WC4,P001_WC5,P001_WC6,P001_WC7,P001_WC8,P001_WC9,P001_WD1,P001_WD2,P001_WD3,P001_WD4,P001_WD5,P001_WD6,P001_WD7,P001_WD8,P001_WD9,P001_WE1,P001_WE3,P001_WE4,P001_WE5,P001_WE6,P001_WE7,P001_WE8,P001_WE9,P001_WF1,P001_WF2,P001_WF3,P001_WF4,P001_WF5,P001_WF6,P001_WF7,P001_WF8,P001_WF9,P001_WG1,P001_WG2,P001_WG3,P001_WG4,P001_WG5,P001_WG6,P001_WG7,P001_WG8,P001_WH1,P001_WH2,P001_WH3,P001_WH4,P001_WH5,P001_WH6,P001_WH7,P001_WH8,P002_WA01,P002_WA02,P002_WA03,P002_WA04,P002_WA05,P002_WA06,P002_WA07,P002_WA08,P002_WA09,P002_WA10,P002_WA11,P002_WB01,P002_WB02,P002_WB03,P002_WB04,P002_WB05,P002_WB06,P002_WB07,P002_WB08,P002_WB09,P002_WB10,P002_WB11,P002_WC01,P002_WC02,P002_WC03,P002_WC04,P002_WC05,P002_WC06,P002_WC07,P002_WC09,P002_WC10,P002_WC11,P002_WD01,P002_WD02,P002_WD03,P002_WD04,P002_WD05,P002_WD06,P002_WD07,P002_WD08,P002_WD09,P002_WD10,P002_WE01,P002_WE02,P002_WE03,P002_WE04,P002_WE05,P002_WE06,P002_WE07,P002_WE08,P002_WE09,P002_WE10,P002_WF01,P002_WF02,P002_WF03,P002_WF04,P002_WF05,P002_WF06,P002_WF07,P002_WF08,P002_WF09,P002_WF10,P002_WG01,P002_WG02,P002_WG03,P002_WG04,P002_WG05,P002_WG06,P002_WG07,P002_WG08,P002_WG09,P002_WG10,P002_WH01,P002_WH02,P002_WH03,P002_WH04,P002_WH05,P002_WH06,P002_WH07,P002_WH08,P002_WH09,P002_WH10,P001_WE2,P002_WC08,P002_WD11
P001_WD4,0.0302905176,0.0296827163,0.0299545045,0.0156094512,0.0162243571,0.0285705858,0.0296466510,0.0298736498,0.0285858738,0.0324381078,0.0287255549,0.0278396723,0.0136535998,0.0182628799,0.0289964118,0.0305924337,0.0304900638,0.0287772459,0.0281496737,0.0296957534,0.0287401786,0.0141208902,0.0177901724,0.0302673172,0.0287485757,0.0296537715,0.0285531576,0.0373357180,0.0289659944,0.0299830529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WD5,0.0316251192,0.0302162294,0.0307081237,0.0204186633,0.0185927544,0.0289565365,0.0310780504,0.0315174905,0.0297195448,0.0334908397,0.0305361617,0.0286561503,0.0196034550,0.0166182579,0.0303372431,0.0320227614,0.0318133582,0.0293613781,0.0297675681,0.0303447459,0.0305208142,0.0185173647,0.0149642266,0.0315252026,0.0305958709,0.0316211611,0.0290918197,0.0384999719,0.0303166245,0.0312830011,0.0175763898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WD6,0.0270406420,0.0269027718,0.0274443868,0.0320436351,0.0318334386,0.0261781157,0.0273586794,0.0273448120,0.0240899362,0.0283550785,0.0269560278,0.0257322128,0.0306938824,0.0312379209,0.0156177117,0.0273154987,0.0275814392,0.0239660380,0.0260784744,0.0262889558,0.0281394647,0.0294378219,0.0294404072,0.0165563294,0.0267006375,0.0266294764,0.0230833381,0.0358836188,0.0265708644,0.0282962724,0.0300584357,0.0307763750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WD7,0.0175995077,0.0177872706,0.0224244440,0.0331566379,0.0329822950,0.0303108313,0.0202600809,0.0247938104,0.0284510390,0.0180174451,0.0171192353,0.0199303482,0.0326274008,0.0325337507,0.0277105285,0.0176813553,0.0245922906,0.0275387561,0.0165192267,0.0163056856,0.0229462657,0.0304917346,0.0299322409,0.0285835320,0.0165095599,0.0244485289,0.0274357233,0.0380115686,0.0173214091,0.0223126757,0.0312473935,0.0323994997,0.0280614622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WD8,0.0230413633,0.0231816254,0.0248618643,0.0328745065,0.0318170180,0.0280314423,0.0231979171,0.0150861941,0.0272004775,0.0248811278,0.0230569282,0.0227524349,0.0311291681,0.0316895641,0.0263340651,0.0254446784,0.0167665703,0.0263355005,0.0234978565,0.0231828192,0.0247832521,0.0309868810,0.0300603095,0.0273869248,0.0240596264,0.0150311216,0.0265906300,0.0361106722,0.0228264545,0.0246319993,0.0312006259,0.0322375252,0.0275649995,0.0245722327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WD9,0.0560979366,0.0553898680,0.0568764890,0.0561562116,0.0560090737,0.0555281701,0.0566788078,0.0553738718,0.0557474845,0.0576007947,0.0547774619,0.0545379361,0.0550250069,0.0558043126,0.0563539148,0.0580930001,0.0563132125,0.0568229935,0.0542507579,0.0545481680,0.0562736794,0.0536666211,0.0535698679,0.0574125200,0.0564490939,0.0558277703,0.0562062224,0.0536157692,0.0539115664,0.0572780375,0.0538925657,0.0561818622,0.0569388405,0.0581300382,0.0558042812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WE1,0.0358561679,0.0358824074,0.0361961225,0.0393616330,0.0390007921,0.0366291669,0.0357256922,0.0371347116,0.0366860113,0.0373151218,0.0358700534,0.0349860994,0.0388543039,0.0381245614,0.0356149170,0.0372456092,0.0362391624,0.0355233447,0.0349102917,0.0346769886,0.0372662854,0.0373624431,0.0361977321,0.0366429962,0.0359694546,0.0356047250,0.0366365918,0.0313380858,0.0350507721,0.0368305462,0.0380923193,0.0392411466,0.0359313720,0.0370658254,0.0367109490,0.0552984546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WE3,0.0218832981,0.0199058841,0.0165712099,0.0300334169,0.0300032291,0.0272776723,0.0186633290,0.0232730237,0.0267049177,0.0233268355,0.0202730717,0.0158130161,0.0293349275,0.0301956068,0.0258392847,0.0221672690,0.0239534625,0.0269580079,0.0202259607,0.0206153859,0.0158200264,0.0276668963,0.0276670285,0.0268578760,0.0203756347,0.0234303804,0.0265245166,0.0359741311,0.0205648704,0.0169966077,0.0288076630,0.0303919036,0.0278885776,0.0229623107,0.0243515025,0.0560058247,0.0355573197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WE4,0.0306635923,0.0294058367,0.0296689198,0.0159333434,0.0157324856,0.0288460391,0.0303248313,0.0301003887,0.0286171182,0.0325123363,0.0296696582,0.0283944235,0.0134457211,0.0187655493,0.0291791104,0.0317946159,0.0308208650,0.0287721141,0.0291960989,0.0301014733,0.0290075554,0.0149955075,0.0175669592,0.0306475714,0.0297113396,0.0302031709,0.0282697527,0.0374793086,0.0285307265,0.0301300975,0.0141720415,0.0190195065,0.0303601752,0.0314053515,0.0302781625,0.0540355980,0.0381881828,0.0285470465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WE5,0.0281159787,0.0273558624,0.0284233667,0.0276960052,0.0267258415,0.0199824672,0.0283997921,0.0267509311,0.0240076842,0.0295340496,0.0268455247,0.0263011792,0.0258646128,0.0272850569,0.0251791960,0.0285936813,0.0279788275,0.0248333771,0.0269155975,0.0269511991,0.0277991195,0.0257719949,0.0248666496,0.0261273181,0.0273521700,0.0272109981,0.0245913348,0.0358172577,0.0269863515,0.0287528288,0.0261238163,0.0271852060,0.0258637729,0.0291146346,0.0277976501,0.0536906462,0.0365010708,0.0270102406,0.0264882841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WE6,0.0256019073,0.0260500911,0.0268936533,0.0318804234,0.0317235138,0.0264754488,0.0261750365,0.0261492460,0.0237707293,0.0278520478,0.0259771198,0.0249832563,0.0302713544,0.0310858182,0.0159124658,0.0269276640,0.0261669214,0.0241036000,0.0260286070,0.0263342592,0.0272315685,0.0297073730,0.0293034949,0.0171395240,0.0263957935,0.0258966176,0.0239383584,0.0361242468,0.0261788128,0.0276230611,0.0293185481,0.0303209024,0.0161237186,0.0274344480,0.0267566292,0.0563092842,0.0358927510,0.0270728469,0.0298699329,0.0257265451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WE7,0.0239436766,0.0241842074,0.0251430763,0.0327568430,0.0325493302,0.0277870138,0.0233907312,0.0209635165,0.0264306502,0.0257082837,0.0230252780,0.0236149101,0.0309024734,0.0315448767,0.0266780297,0.0247458044,0.0206080640,0.0263490652,0.0222208165,0.0235361746,0.0249730863,0.0309794542,0.0291716044,0.0267814036,0.0244385114,0.0211619808,0.0260231576,0.0379167768,0.0228542015,0.0255203912,0.0299025428,0.0323619313,0.0280423789,0.0257414376,0.0218124864,0.0561825653,0.0372921315,0.0246959183,0.0308517399,0.0281306892,0.0273300532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WE8,0.0245827227,0.0241469552,0.0247341048,0.0335213620,0.0334348903,0.0287989507,0.0237858612,0.0208875757,0.0272231626,0.0261865989,0.0242017207,0.0228115745,0.0321953498,0.0332624404,0.0271983815,0.0265899095,0.0197557635,0.0257050939,0.0238652805,0.0242613076,0.0267152176,0.0318490785,0.0300606197,0.0274425693,0.0240434996,0.0203693410,0.0265384888,0.0366636405,0.0232959058,0.0253729631,0.0312687762,0.0325969003,0.0279784181,0.0254831976,0.0209571694,0.0566246194,0.0371162674,0.0247660313,0.0314335456,0.0284074163,0.0265548663,0.0218258213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WE9,0.0552103518,0.0543695012,0.0561003993,0.0549547223,0.0549728555,0.0547208417,0.0552306058,0.0543224309,0.0541193994,0.0559420059,0.0535603747,0.0535680492,0.0544167151,0.0554277070,0.0551918685,0.0565123874,0.0553889681,0.0556160758,0.0531396278,0.0544114866,0.0552663051,0.0523566385,0.0524727219,0.0561125627,0.0553640567,0.0549754845,0.0547112347,0.0532074181,0.0526473860,0.0559382271,0.0536857796,0.0556172500,0.0563911060,0.0562433597,0.0547042361,0.0131376665,0.0546907563,0.0549650538,0.0533998135,0.0532072611,0.0552592920,0.0557535135,0.0555502582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WF1,0.0340307659,0.0338677234,0.0341013377,0.0368375804,0.0352548352,0.0342369703,0.0332769713,0.0341578847,0.0341954850,0.0349688702,0.0335168783,0.0336972913,0.0355134713,0.0365023224,0.0337212559,0.0365977332,0.0341974220,0.0334909804,0.0333653770,0.0332025595,0.0350271436,0.0355495622,0.0338001741,0.0348204326,0.0346617043,0.0341620469,0.0345227651,0.0308495341,0.0319369453,0.0354315419,0.0355022598,0.0359978816,0.0346515600,0.0358720847,0.0340750573,0.0510761919,0.0319015141,0.0342929238,0.0359934096,0.0345269055,0.0340201807,0.0357187667,0.0349919578,0.0506314391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WF2,0.0162569661,0.0153329684,0.0203169555,0.0315792040,0.0302510982,0.0271901255,0.0189397096,0.0222128715,0.0254372159,0.0171323604,0.0141413400,0.0190149312,0.0293624724,0.0307291402,0.0251119779,0.0163281658,0.0229140764,0.0256217404,0.0145814147,0.0153169345,0.0212311281,0.0294139971,0.0278315856,0.0257341930,0.0151365389,0.0227164490,0.0247692053,0.0360361654,0.0154377235,0.0201332225,0.0285568083,0.0297975308,0.0266140485,0.0169421304,0.0239428813,0.0552308237,0.0356760345,0.0193876522,0.0291238752,0.0271037031,0.0260932151,0.0227366944,0.0236864909,0.0536690892,0.0340968950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WF3,0.0373907863,0.0371836098,0.0374461988,0.0330184105,0.0323002147,0.0374778798,0.0381237222,0.0374888320,0.0376681544,0.0394871371,0.0368475684,0.0362816072,0.0326098114,0.0323479620,0.0386375924,0.0395122784,0.0387624072,0.0374919333,0.0365593467,0.0369966277,0.0370416235,0.0327563676,0.0305211545,0.0376441132,0.0368246334,0.0379133548,0.0378644115,0.0370959406,0.0366335366,0.0375921759,0.0317247428,0.0329589698,0.0397511679,0.0394452526,0.0384853226,0.0517045080,0.0371940365,0.0364391795,0.0318261427,0.0360795556,0.0384866631,0.0390702063,0.0375686239,0.0516514748,0.0342789401,0.0369960274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WF4,0.0318121852,0.0308729868,0.0314803963,0.0165989965,0.0171912036,0.0298055946,0.0310689018,0.0318393983,0.0302633124,0.0340390524,0.0307172009,0.0299646685,0.0163655861,0.0215010665,0.0306404657,0.0323742939,0.0320213853,0.0306862073,0.0305436919,0.0310778739,0.0304847980,0.0158147084,0.0197454641,0.0319657166,0.0306892199,0.0315610309,0.0298285199,0.0390747226,0.0305270752,0.0314411716,0.0152999378,0.0194001252,0.0319027912,0.0322578899,0.0322399858,0.0553456924,0.0390446131,0.0293583649,0.0159999873,0.0278221916,0.0312150213,0.0323788476,0.0334680030,0.0550392461,0.0364222351,0.0305584711,0.0329934423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WF5,0.0265631825,0.0271002386,0.0267427159,0.0258190368,0.0250036794,0.0192304341,0.0262624561,0.0266439275,0.0226622586,0.0285720206,0.0262069933,0.0245907849,0.0245869015,0.0249910092,0.0241395943,0.0271128928,0.0274550673,0.0244014342,0.0258836738,0.0269257271,0.0261837210,0.0233140640,0.0227088809,0.0252940124,0.0259152481,0.0267228872,0.0231823110,0.0350581334,0.0265597132,0.0262777271,0.0239546341,0.0247702081,0.0249965103,0.0276525375,0.0268555716,0.0532818323,0.0355230879,0.0252505532,0.0245797234,0.0175814631,0.0253563426,0.0272731516,0.0277440978,0.0525504190,0.0328710265,0.0262457855,0.0333191362,0.0257449450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WF6,0.0203813795,0.0192639827,0.0177336609,0.0319450622,0.0307731850,0.0283165109,0.0145947934,0.0227227472,0.0268873447,0.0202696690,0.0188367227,0.0166394565,0.0310676710,0.0316419214,0.0256251128,0.0206075961,0.0226233958,0.0257387554,0.0189013149,0.0192907697,0.0181716783,0.0299602544,0.0296108329,0.0270638060,0.0194644651,0.0221481722,0.0257282416,0.0372900908,0.0186074265,0.0180988941,0.0300807798,0.0311128233,0.0277507331,0.0207286159,0.0230422348,0.0571524590,0.0358432212,0.0172020489,0.0295996898,0.0286541603,0.0266840831,0.0236099764,0.0235166435,0.0559251705,0.0342689379,0.0182732059,0.0377069563,0.0313974075,0.0272998338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WF7,0.0243641965,0.0247723382,0.0249069147,0.0334807021,0.0323584062,0.0280132806,0.0233326239,0.0217336919,0.0265648248,0.0255633123,0.0244312912,0.0233057328,0.0318485713,0.0332066211,0.0263144377,0.0257004465,0.0204298525,0.0261966324,0.0230384523,0.0235733315,0.0249939390,0.0311170524,0.0309443768,0.0278730908,0.0253887964,0.0215129599,0.0268202692,0.0378025374,0.0232597329,0.0253496396,0.0314628413,0.0328197706,0.0286022462,0.0253520346,0.0212810655,0.0569733049,0.0375745111,0.0241752032,0.0314685789,0.0284248088,0.0272906042,0.0172845315,0.0212530780,0.0562478579,0.0353009521,0.0238335974,0.0395459105,0.0315882295,0.0270991836,0.0236909753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WF8,0.0239616482,0.0237092485,0.0228810216,0.0314322370,0.0312365577,0.0275593022,0.0229311075,0.0189229750,0.0259849224,0.0243277993,0.0234901081,0.0218663823,0.0298347022,0.0312747387,0.0253716250,0.0246639816,0.0180360150,0.0247078060,0.0223827665,0.0231969224,0.0249917911,0.0297298574,0.0284658850,0.0274707396,0.0225632160,0.0188688564,0.0249877700,0.0360278356,0.0223336857,0.0245762873,0.0289158148,0.0307525238,0.0271404249,0.0241611911,0.0196304018,0.0551988195,0.0366170960,0.0240588777,0.0294984838,0.0273544531,0.0263115274,0.0194556271,0.0168740627,0.0541150631,0.0340570212,0.0228384559,0.0382340977,0.0311055901,0.0265849902,0.0224159022,0.0209371858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WF9,0.0562498282,0.0550750749,0.0572276298,0.0564369221,0.0562959093,0.0553515177,0.0562201926,0.0557140456,0.0553039204,0.0577377454,0.0547752757,0.0542452954,0.0556130054,0.0561981877,0.0563107355,0.0580382221,0.0561627100,0.0564417750,0.0535603798,0.0550993934,0.0565170738,0.0539663405,0.0536799047,0.0570676501,0.0563222667,0.0555517981,0.0559318920,0.0542821722,0.0543869940,0.0566316148,0.0545006947,0.0564099916,0.0570104223,0.0575408154,0.0556723173,0.0126948286,0.0556864500,0.0556641564,0.0541142285,0.0545162969,0.0565453628,0.0559770579,0.0564969624,0.0126998839,0.0513052166,0.0547471229,0.0516768732,0.0561524335,0.0538893781,0.0567937867,0.0573784890,0.0550354885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WG1,0.0156798644,0.0149830958,0.0206312837,0.0322555023,0.0312010426,0.0286269490,0.0184668013,0.0220203647,0.0263434894,0.0158677854,0.0155319712,0.0192551314,0.0306426415,0.0310195126,0.0249779129,0.0176693698,0.0230967997,0.0254634475,0.0155970933,0.0154531969,0.0221113006,0.0302676948,0.0288346638,0.0270069462,0.0159206596,0.0228142115,0.0257302410,0.0357742535,0.0150845478,0.0212563067,0.0297095095,0.0311958280,0.0268145317,0.0167900519,0.0227632620,0.0563252179,0.0362401565,0.0206648635,0.0299984813,0.0277710537,0.0258612896,0.0243042756,0.0232735823,0.0548104045,0.0335527070,0.0155347207,0.0371514157,0.0314599301,0.0269037913,0.0185617272,0.0244024081,0.0230395933,0.0559396270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WG2,0.0172216307,0.0167860881,0.0197032806,0.0301419643,0.0301469826,0.0267275945,0.0191328857,0.0227634598,0.0245323486,0.0179819579,0.0150615647,0.0180969213,0.0289063636,0.0294025357,0.0252285064,0.0161321031,0.0225995856,0.0254485863,0.0144815765,0.0159779254,0.0201411285,0.0283005533,0.0275976801,0.0255497129,0.0159913076,0.0223376703,0.0244906041,0.0361314600,0.0157493625,0.0203556865,0.0276179114,0.0291053822,0.0262082216,0.0180902678,0.0241546439,0.0531545185,0.0360850046,0.0196676942,0.0287492538,0.0264371590,0.0256109293,0.0224315185,0.0237048425,0.0528199730,0.0344049242,0.0146735492,0.0367077927,0.0298770395,0.0258430502,0.0189528444,0.0236999013,0.0222142578,0.0529001263,0.0161070811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WG3,0.0379522402,0.0376760964,0.0375546589,0.0338614166,0.0336430335,0.0371193312,0.0366335778,0.0367222031,0.0377331383,0.0386517571,0.0364006797,0.0367937988,0.0335120314,0.0328453585,0.0376220490,0.0396421656,0.0373553566,0.0374208003,0.0367783562,0.0375871635,0.0382038097,0.0331596295,0.0311796055,0.0383321276,0.0372316743,0.0372829539,0.0375333470,0.0349800560,0.0369311260,0.0386843136,0.0330667393,0.0329047252,0.0385122542,0.0394575352,0.0374535947,0.0514991392,0.0370947995,0.0357415925,0.0318414363,0.0359819808,0.0389836629,0.0383451512,0.0380497134,0.0503901255,0.0333430200,0.0367468994,0.0300737325,0.0346971376,0.0349903654,0.0378022554,0.0400176909,0.0375760790,0.0517760952,0.0367199567,0.0370493509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WG4,0.0315431467,0.0310640983,0.0319032618,0.0169244831,0.0153515887,0.0289810870,0.0316822832,0.0316309118,0.0303718235,0.0330646251,0.0308504517,0.0284085404,0.0150202670,0.0200665530,0.0304124599,0.0323768993,0.0321042501,0.0304548383,0.0301324742,0.0311095697,0.0302296301,0.0152279549,0.0185733925,0.0314685430,0.0303926860,0.0314769318,0.0303811724,0.0383621030,0.0297930975,0.0319250849,0.0157127407,0.0192163465,0.0308422733,0.0325841029,0.0320327298,0.0551023558,0.0379776300,0.0296383473,0.0155264568,0.0265941276,0.0308224380,0.0314842946,0.0327753741,0.0536797698,0.0358861720,0.0306013560,0.0318899231,0.0176413173,0.0244673789,0.0316359450,0.0323043118,0.0304171551,0.0558228977,0.0307826667,0.0298802537,0.0335839494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WG5,0.0360673864,0.0351501861,0.0361946547,0.0406497118,0.0389257377,0.0363897151,0.0351881312,0.0361184551,0.0358659869,0.0373514181,0.0355583257,0.0346166623,0.0388658899,0.0383704661,0.0362209162,0.0383987226,0.0364794200,0.0354899588,0.0342012916,0.0341180132,0.0357093888,0.0378998951,0.0362200567,0.0373865149,0.0368408409,0.0363159893,0.0371767367,0.0318453484,0.0340432257,0.0360308865,0.0386349622,0.0392570169,0.0363846925,0.0373984626,0.0360759714,0.0543147715,0.0334854975,0.0352810729,0.0384319940,0.0365203264,0.0373817983,0.0379530424,0.0368032058,0.0534877240,0.0225271451,0.0352148747,0.0370042516,0.0398736517,0.0351050322,0.0355650231,0.0367840488,0.0360357856,0.0547061580,0.0358046863,0.0361347037,0.0361492998,0.0390410451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WG6,0.0201216360,0.0195473241,0.0171426397,0.0317815189,0.0305348593,0.0282938522,0.0151260027,0.0219053075,0.0273961179,0.0215331855,0.0188347348,0.0157575558,0.0305547009,0.0302333239,0.0263748161,0.0211493300,0.0223627730,0.0263513771,0.0195014315,0.0194685427,0.0192547623,0.0294940784,0.0288949780,0.0275592263,0.0196032997,0.0228371519,0.0266872979,0.0363206318,0.0184560125,0.0175886855,0.0292925499,0.0314314339,0.0275247962,0.0191078228,0.0218603094,0.0562213745,0.0351879108,0.0181183656,0.0294634117,0.0270580871,0.0263869913,0.0242836602,0.0233339000,0.0548858098,0.0332460832,0.0189442748,0.0370203501,0.0309847600,0.0259764810,0.0149856544,0.0234949330,0.0230622630,0.0560561127,0.0195360529,0.0195669721,0.0374187847,0.0300953973,0.0343110221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WG7,0.0233821532,0.0230955437,0.0246245877,0.0323150189,0.0323949354,0.0275535431,0.0232205789,0.0205157001,0.0260239351,0.0249849540,0.0230319404,0.0223213275,0.0315758002,0.0313322080,0.0270310028,0.0236599590,0.0202429234,0.0257845755,0.0228222126,0.0224818371,0.0240611426,0.0298687591,0.0299548726,0.0265334304,0.0233017212,0.0208058187,0.0257926760,0.0373887880,0.0232423032,0.0244755008,0.0303218813,0.0320919992,0.0275239524,0.0249787541,0.0224194598,0.0560862741,0.0366689901,0.0239697434,0.0307665431,0.0275011586,0.0266838744,0.0168594944,0.0211534867,0.0547932990,0.0352914213,0.0226049912,0.0396192876,0.0321576675,0.0266181947,0.0231910390,0.0148980170,0.0196772371,0.0562497331,0.0230467159,0.0216763510,0.0377973003,0.0320007845,0.0383585912,0.0231350256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
