,P001_WA1,P001_WA2,P001_WA3,P001_WA4,P001_WA5,P001_WA6,P001_WA7,P001_WA8,P001_WA9,P001_WB1,P001_WB2,P001_WB3,P001_WB4,P001_WB5,P001_WB6,P001_WB7,P001_WB8,P001_WB9,P001_WC1,P001_WC2,P001_WC3,P001_WC4,P001_WC5,P001_WC6,P001_WC7,P001_WC8,P001_WC9,P001_WD1,P001_WD2,P001_WD3,P001_WD4,P001_WD5,P001_WD6,P001_WD7,P001_WD8,P001_WD9,P001_WE1,P001_WE3,P001_WE4,P001_WE5,P001_WE6,P001_WE7,P001_WE8,P001_WE9,P001_WF1,P001_WF2,P001_WF3,P001_WF4,P001_WF5,P001_WF6,P001_WF7,P001_WF8,P001_WF9,P001_WG1,P001_WG2,P001_WG3,P001_WG4,P001_WG5,P001_WG6,P001_WG7,P001_WG8,P001_WH1,P001_WH2,P001_WH3,P001_WH4,P001_WH5,P001_WH6,P001_WH7,P001_WH8,P002_WA01,P002_WA02,P002_WA03,P002_WA04,P002_WA05,P002_WA06,P002_WA07,P002_WA08,P002_WA09,P002_WA10,P002_WA11,P002_WB01,P002_WB02,P002_WB03,P002_WB04,P002_WB05,P002_WB06,P002_WB07,P002_WB08,P002_WB09,P002_WB10,P002_WB11,P002_WC01,P002_WC02,P002_WC03,P002_WC04,P002_WC05,P002_WC06,P002_WC07,P002_WC09,P002_WC10,P002_WC11,P002_WD01,P002_WD02,P002_WD03,P002_WD04,P002_WD05,P002_WD06,P002_WD07,P002_WD08,P002_WD09,P002_WD10,P002_WE01,P002_WE02,P002_WE03,P002_WE04,P002_WE05,P002_WE06,P002_WE07,P002_WE08,P002_WE09,P002_WE10,P002_WF01,P002_WF02,P002_WF03,P002_WF04,P002_WF05,P002_WF06,P002_WF07,P002_WF08,P002_WF09,P002_WF10,P002_WG01,P002_WG02,P002_WG03,P002_WG04,P002_WG05,P002_WG06,P002_WG07,P002_WG08,P002_WG09,P002_WG10,P002_WH01,P002_WH02,P002_WH03,P002_WH04,P002_WH05,P002_WH06,P002_WH07,P002_WH08,P002_WH09,P002_WH10,P001_WE2,P002_WC08,P002_WD11
P001_WB2,0.0165439593,0.0149115887,0.0206332120,0.0313627491,0.0306093548,0.0276863888,0.0198257217,0.0226637877,0.0253855210,0.0158884928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WB3,0.0206424067,0.0197750628,0.0158890522,0.0300544895,0.0293053102,0.0263907781,0.0169014053,0.0230159856,0.0250903914,0.0212404878,0.0194076691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WB4,0.0312981258,0.0306314982,0.0309264597,0.0144889041,0.0153166742,0.0289567572,0.0309961980,0.0308902108,0.0287387071,0.0330640720,0.0298624344,0.0286838073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WB5,0.0316644903,0.0307146918,0.0314812792,0.0197821238,0.0198496422,0.0290000989,0.0312961788,0.0315539941,0.0307424448,0.0336079350,0.0301026151,0.0283987016,0.0200161604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WB6,0.0255459714,0.0256703294,0.0260095518,0.0311358114,0.0313851090,0.0244848121,0.0258771972,0.0262039394,0.0226427770,0.0273385653,0.0251213286,0.0248876904,0.0295480758,0.0308686860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WB7,0.0176954511,0.0173018177,0.0218818251,0.0334082724,0.0332136387,0.0295226722,0.0210769586,0.0244834494,0.0265627419,0.0182507205,0.0150978714,0.0204691827,0.0320909104,0.0329162686,0.0266586508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WB8,0.0233873481,0.0231932766,0.0235310148,0.0329703752,0.0324671263,0.0281358999,0.0227408449,0.0155038312,0.0260716796,0.0249287714,0.0233742493,0.0220401564,0.0313732222,0.0316723441,0.0255187709,0.0246069880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WB9,0.0259329301,0.0257295802,0.0274905553,0.0308697585,0.0302187061,0.0257313628,0.0258927910,0.0268946256,0.0172408926,0.0277335117,0.0255617704,0.0249031715,0.0293346686,0.0299730456,0.0238285653,0.0273585582,0.0259622649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WC1,0.0155775123,0.0154915083,0.0208864668,0.0309421151,0.0297961509,0.0271703730,0.0194636566,0.0223281176,0.0243346680,0.0160628558,0.0139787363,0.0189127307,0.0295211517,0.0299255032,0.0244107133,0.0155948002,0.0231894303,0.0255651798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WC2,0.0159505261,0.0154557003,0.0206576615,0.0319188299,0.0315836032,0.0268959534,0.0192947424,0.0231673557,0.0252686112,0.0161023269,0.0152226613,0.0195531847,0.0307014604,0.0307350635,0.0250506858,0.0169893413,0.0225761596,0.0252487182,0.0148238157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
