,Griffinia_hyacinthina,Griffinia_rochae,Griffinia_nocturna,H_cipoanum_119_cpgenome_annotated_3.0,NG4400_Hip_dutilh,BEL4494_Zeph_mesoch,NG243_Zeph_montana,NG5471_Zeph_monantha,NG4932_Zeph_advena,NG2811_Zeph_cisand,NG4922_Zeph_tenuif,Rhodolirium_laetum,NG1022_Pap_laeta,NG1069_Pap_laeta,Traubia_modesta,OG2_i1_Tra_modesta,OG2_i2_Tra_modesta,OG2_i3_Tra_modesta,Rhodolirium_montanum,OG1_i2_Rho_montan,OG1_i3_Rho_montan,OG1_i4_Rho_montan,OG3_i1_Rho_andico,OG3_i2_Rho_andico,P001_WA1,P001_WB1,P001_WC1,P001_WD1,P001_WE1,P001_WF1,P001_WG1,P001_WH1,P001_WA2,P001_WB2,P001_WC2,P001_WD2,P001_WE2,P001_WF2,P001_WG2,P001_WH2,P001_WA3,P001_WB3,P001_WC3,P001_WD3,P001_WE3,P001_WF3,P001_WG3,P001_WH3,P001_WA4,P001_WB4,P001_WC4,P001_WD4,P001_WE4,P001_WF4,P001_WG4,P001_WH4,P001_WA5,P001_WB5,P001_WC5,P001_WD5,P001_WE5,P001_WF5,P001_WG5,P001_WH5,P001_WA6,P001_WB6,P001_WC6,P001_WD6,P001_WE6,P001_WF6,P001_WG6,P001_WH6,P001_WA7,P001_WB7,P001_WC7,P001_WD7,P001_WE7,P001_WF7,P001_WG7,P001_WH7,P001_WA8,P001_WB8,P001_WC8,P001_WD8,P001_WE8,P001_WF8,P001_WG8,P001_WH8,P001_WA9,P001_WB9,P001_WC9,P002_WA01,P002_WB01,P002_WC01,P002_WE01,P002_WD01,P002_WF01,P002_WG01,P002_WH01,P002_WA02,P002_WB02,P002_WC02,P002_WD02,P002_WE02,P002_WF02,P002_WG02,P002_WH02,P002_WA03,P002_WB03,P002_WC03,P002_WD03,P002_WE03,P002_WF03,P002_WG03,P002_WH03,P002_WA04,P002_WB04,P002_WC04,P002_WD04,P002_WE04,P002_WF04,P002_WG04,P002_WH04,P002_WA05,P002_WB05,P002_WC05,P002_WD05,P002_WE05,P002_WF05,P002_WG05,P002_WH05,P002_WA06,P002_WB06,P002_WC06,P002_WD06,P002_WE06,P002_WF06,P002_WG06,P002_WH06,P002_WA07,P002_WB07,P002_WC07,P002_WD07,P002_WE07,P002_WF07,P002_WG07,P002_WH07,P002_WA08,P002_WB08,P002_WC08,P002_WD08,P002_WE08,P002_WF08,P002_WG08,P002_WH08,P002_WA09,P002_WB09,P002_WC09,P002_WD09,P002_WE09,P002_WF09
Griffinia_hyacinthina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Griffinia_rochae,0.0038881985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Griffinia_nocturna,0.0046640710,0.0044952365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H_cipoanum_119,0.0101763198,0.0104139211,0.0113990843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NG4400_Hip_dutilh,0.0101735275,0.0103714700,0.0113512581,0.0027731609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL4494_Zeph_mesoch,0.0111919864,0.0112457205,0.0121048930,0.0033554201,0.0035542143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NG243_Zeph_montana,0.0109374945,0.0108682157,0.0119570221,0.0035918302,0.0039656583,0.0043296022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NG5471_Zeph_monantha,0.0105442115,0.0104918196,0.0113702412,0.0033775879,0.0035646955,0.0041175450,0.0006439544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NG4932_Zeph_advena,0.0113669296,0.0113317600,0.0125818947,0.0038608511,0.0037410915,0.0044122085,0.0009648176,0.0009654892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NG2811_Zeph_cisand,0.0111338667,0.0109174303,0.0120884581,0.0036558825,0.0035940739,0.0041415601,0.0007136155,0.0005777769,0.0005943461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NG4922_Zeph_tenuif,0.0108570946,0.0106141594,0.0118524616,0.0039514480,0.0037377221,0.0043463314,0.0009978767,0.0012221588,0.0006396785,0.0008873261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhodolirium_laetum,0.0105084391,0.0108463243,0.0116270425,0.0085243310,0.0087331224,0.0094338138,0.0093517300,0.0086529211,0.0097636959,0.0094725275,0.0092648821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NG1022_Pap_laeta,0.0103600989,0.0106588649,0.0114078796,0.0084217137,0.0086480832,0.0091962428,0.0092229689,0.0084885235,0.0093507307,0.0091605863,0.0088172156,0.0002135565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NG1069_Pap_laeta,0.0097174789,0.0099604628,0.0108434139,0.0080711675,0.0082998084,0.0088145308,0.0087984034,0.0084113314,0.0090462050,0.0089108183,0.0086598559,0.0004312184,0.0005521988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traubia_modesta,0.0103922793,0.0103524754,0.0114036469,0.0082978108,0.0084348221,0.0091923779,0.0090032835,0.0083043155,0.0095465558,0.0090332981,0.0090392678,0.0049131012,0.0048442684,0.0043661963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OG2_i1_Tra_modesta,0.0102466639,0.0102734265,0.0111922970,0.0082988350,0.0082600042,0.0090362360,0.0090641950,0.0081833435,0.0093706284,0.0088895041,0.0088848244,0.0047934525,0.0045821902,0.0043625122,0.0003071156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OG2_i2_Tra_modesta,0.0102551043,0.0102246960,0.0111953465,0.0082048208,0.0082123508,0.0089568033,0.0089235177,0.0081746478,0.0091983680,0.0088177831,0.0088460358,0.0048504333,0.0046341235,0.0044263693,0.0005297682,0.0002693495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OG2_i3_Tra_modesta,0.0102828214,0.0102950880,0.0113133409,0.0083857996,0.0083474780,0.0091218773,0.0090418567,0.0081726621,0.0094536720,0.0089422847,0.0088592137,0.0049053435,0.0046199604,0.0044284060,0.0003998534,0.0000315897,0.0002449673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhodolirium_montanum,0.0097947232,0.0095777756,0.0106149350,0.0076494165,0.0077615559,0.0083175237,0.0085061015,0.0075220698,0.0086978319,0.0083201227,0.0083281930,0.0046779269,0.0044220102,0.0042773211,0.0042890050,0.0040277909,0.0040548231,0.0041035647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OG1_i2_Rho_montan,0.0097419671,0.0095792219,0.0105968945,0.0076368396,0.0078001289,0.0082813282,0.0084395946,0.0073977673,0.0084934354,0.0081709700,0.0080400626,0.0046153805,0.0043412669,0.0041415989,0.0043053150,0.0040211782,0.0040445810,0.0041115704,0.0002016357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OG1_i3_Rho_montan,0.0097642881,0.0095293167,0.0105751122,0.0076375088,0.0078173945,0.0082972151,0.0084932288,0.0074787057,0.0086779867,0.0082540358,0.0082948659,0.0046222581,0.0043393602,0.0041836262,0.0042718375,0.0040298352,0.0040817709,0.0041317321,0.0002411193,0.0001164590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OG1_i4_Rho_montan,0.0097611021,0.0095917574,0.0106116788,0.0076599572,0.0077878890,0.0083091015,0.0084870093,0.0074355910,0.0086670122,0.0082071695,0.0082660966,0.0046302462,0.0043667234,0.0041575921,0.0043116818,0.0040432870,0.0040718505,0.0041207118,0.0002170587,0.0000232129,0.0001320012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OG3_i1_Rho_andico,0.0098823318,0.0097574746,0.0107827171,0.0077155403,0.0078283452,0.0083736584,0.0084682288,0.0076566092,0.0086597857,0.0083703600,0.0082243366,0.0048390465,0.0045191246,0.0044941251,0.0044616783,0.0042097973,0.0042209430,0.0043451549,0.0013847528,0.0012306147,0.0012734885,0.0012466865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OG3_i2_Rho_andico,0.0101183314,0.0098767731,0.0110476952,0.0080146497,0.0080862561,0.0087131217,0.0088497437,0.0076989237,0.0090869123,0.0085721316,0.0084478851,0.0050244613,0.0047211423,0.0044827871,0.0045972771,0.0043813368,0.0043548725,0.0044712172,0.0014243464,0.0013207537,0.0013166877,0.0013441708,0.0000239631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WA1,0.0109519255,0.0107106192,0.0121135219,0.0090430992,0.0090696109,0.0098321049,0.0097916552,0.0086688268,0.0101746938,0.0095806711,0.0094318449,0.0060907153,0.0058019479,0.0053991221,0.0057463733,0.0054999501,0.0054972856,0.0055369231,0.0034608091,0.0034314820,0.0034033956,0.0034389939,0.0036749332,0.0037198079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WB1,0.0109438291,0.0107106192,0.0121055999,0.0090352421,0.0090614567,0.0098241463,0.0097828299,0.0086688268,0.0101667536,0.0095721818,0.0094318449,0.0060828810,0.0057939556,0.0053991221,0.0057385117,0.0054920173,0.0054890740,0.0055290274,0.0034530060,0.0034236928,0.0033955820,0.0034312052,0.0036749332,0.0037119980,0.0000077278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WC1,0.0110342343,0.0107267606,0.0121384034,0.0090816465,0.0091077954,0.0098452855,0.0097584504,0.0087641418,0.0102182235,0.0095493668,0.0094909972,0.0061497337,0.0058540059,0.0054085077,0.0057743658,0.0055640368,0.0055319683,0.0055623850,0.0034946756,0.0034808578,0.0034523669,0.0034882908,0.0036606680,0.0037685651,0.0001160194,0.0001082840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WD1,0.0108307522,0.0106671319,0.0118590506,0.0088374231,0.0088824546,0.0096417395,0.0097103441,0.0086117862,0.0099424491,0.0095040488,0.0093617311,0.0059536103,0.0056723030,0.0053335050,0.0055332849,0.0052766022,0.0053190442,0.0053279511,0.0032682935,0.0032160594,0.0032105484,0.0032230578,0.0035476577,0.0035741521,0.0012816102,0.0012738334,0.0013682336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WE1,0.0107542766,0.0106938282,0.0117505719,0.0088147923,0.0089200339,0.0095342366,0.0096389143,0.0085564394,0.0096342959,0.0094103781,0.0092099199,0.0059076888,0.0056302593,0.0053407862,0.0055326470,0.0053062074,0.0052525280,0.0053127622,0.0032351661,0.0031181927,0.0031446534,0.0031343031,0.0034092043,0.0036025714,0.0013475932,0.0013397024,0.0014351998,0.0001496560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WF1,0.0107452777,0.0106188167,0.0118370330,0.0088634812,0.0089374482,0.0095434203,0.0097618800,0.0085280706,0.0098447839,0.0094521986,0.0093365554,0.0058684683,0.0056137730,0.0053432356,0.0054210213,0.0051858944,0.0051592667,0.0052216512,0.0032316844,0.0031887145,0.0031892166,0.0031955206,0.0035028244,0.0035105440,0.0013110440,0.0013031836,0.0013825169,0.0002989280,0.0003577674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WG1,0.0110780398,0.0108005925,0.0121676910,0.0092212213,0.0091970474,0.0099179784,0.0099058908,0.0088093589,0.0102759362,0.0096935480,0.0096113997,0.0062741374,0.0059714030,0.0055140639,0.0058518636,0.0056202278,0.0056197506,0.0056187856,0.0035409562,0.0035038378,0.0034837550,0.0035190627,0.0037553385,0.0037686668,0.0006267620,0.0006190244,0.0007124472,0.0013757944,0.0014115219,0.0013743817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WH1,0.0111137033,0.0108332518,0.0122007889,0.0092551761,0.0092002614,0.0099370837,0.0099066702,0.0088462293,0.0103098771,0.0096984937,0.0096087178,0.0063103738,0.0060100326,0.0055140152,0.0058958485,0.0056665574,0.0056533900,0.0056948994,0.0035780139,0.0035408516,0.0035208962,0.0035561480,0.0037710048,0.0038137208,0.0006573568,0.0006496234,0.0007430717,0.0013981831,0.0014264158,0.0013895810,0.0000309365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WA2,0.0110643042,0.0107815983,0.0121574745,0.0091884415,0.0091800634,0.0098884590,0.0098837580,0.0088094410,0.0102254105,0.0096796548,0.0095932885,0.0062271092,0.0059386203,0.0054768764,0.0058347508,0.0056198351,0.0056131126,0.0056301352,0.0035172741,0.0034495703,0.0034660209,0.0034799446,0.0037247447,0.0037514461,0.0006438589,0.0006361017,0.0007298083,0.0014021965,0.0014212621,0.0014094699,0.0000232738,0.0000542764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WB2,0.0109375914,0.0107760948,0.0120923242,0.0090884926,0.0091849414,0.0098482639,0.0098728289,0.0087787567,0.0102451758,0.0096754416,0.0095974251,0.0061302955,0.0058319941,0.0055474078,0.0057859893,0.0055614346,0.0055501102,0.0056135227,0.0035201060,0.0034146331,0.0034210353,0.0034210843,0.0037402921,0.0037641052,0.0005590777,0.0005513086,0.0006449194,0.0013259992,0.0014131054,0.0013535124,0.0001320369,0.0001319621,0.0001556657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WC2,0.0109509081,0.0107579835,0.0119714912,0.0090503612,0.0090499682,0.0097539564,0.0099943292,0.0087552303,0.0101453739,0.0096800061,0.0095513733,0.0060863964,0.0057786459,0.0055356110,0.0056815886,0.0054619466,0.0054612076,0.0054878506,0.0033466977,0.0033122149,0.0032891400,0.0033190207,0.0035483304,0.0035917906,0.0006630450,0.0006552395,0.0007337211,0.0012924199,0.0013407903,0.0012885324,0.0002106425,0.0002417412,0.0002264478,0.0000703965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WD2,0.0109981071,0.0107546546,0.0120661656,0.0091048980,0.0091450222,0.0098370948,0.0098727216,0.0087818213,0.0102250734,0.0096187808,0.0095920628,0.0061652127,0.0058870707,0.0055346191,0.0058151040,0.0056127542,0.0056068388,0.0056314908,0.0034794817,0.0034428865,0.0034370022,0.0034495897,0.0037004312,0.0037388840,0.0005974407,0.0005896773,0.0006754432,0.0013628296,0.0014201923,0.0013612635,0.0001319191,0.0001473709,0.0001477852,0.0000000000,0.0000703640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WE2,0.0109351549,0.0107502277,0.0120574226,0.0090452183,0.0091074584,0.0097727833,0.0098048081,0.0086164972,0.0101459974,0.0095738568,0.0094602739,0.0060131629,0.0057228494,0.0053185744,0.0056051322,0.0054153128,0.0053768734,0.0054520910,0.0033633196,0.0033016699,0.0033042571,0.0033174853,0.0036139542,0.0036960869,0.0003907681,0.0003829498,0.0004848489,0.0012775926,0.0013614505,0.0012985391,0.0006413782,0.0006644039,0.0006422472,0.0006039095,0.0007085697,0.0006342343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WF2,0.0110363668,0.0108528905,0.0120472762,0.0090742286,0.0090947989,0.0098118583,0.0099815732,0.0088618652,0.0101849969,0.0097679279,0.0095481978,0.0061640248,0.0058989404,0.0055139733,0.0057866045,0.0055642021,0.0055541715,0.0056023515,0.0034592231,0.0034147776,0.0034007251,0.0034300638,0.0036944513,0.0037122711,0.0007068478,0.0006990805,0.0007929517,0.0013409768,0.0013047795,0.0013464166,0.0002175294,0.0002484409,0.0002336016,0.0002182916,0.0001409383,0.0002179772,0.0007770391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WG2,0.0108128656,0.0106438968,0.0117458097,0.0087235147,0.0089526638,0.0096502102,0.0095890514,0.0086866368,0.0100398455,0.0096029192,0.0094238666,0.0057751985,0.0056360686,0.0052773605,0.0054282285,0.0053929859,0.0054039587,0.0053622298,0.0033093177,0.0032566526,0.0032357516,0.0032566427,0.0035777635,0.0036218604,0.0005666565,0.0005588899,0.0006368041,0.0012000546,0.0012724142,0.0012047906,0.0007142129,0.0007453636,0.0007320832,0.0006546827,0.0006181453,0.0006926826,0.0005486766,0.0007016587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WH2,0.0108998015,0.0107039012,0.0118876891,0.0089302193,0.0089711739,0.0097009401,0.0097496428,0.0087454180,0.0100502865,0.0096013941,0.0093581630,0.0060526281,0.0057375740,0.0054655901,0.0055896659,0.0054045289,0.0053567548,0.0053694576,0.0033111136,0.0032810565,0.0032509018,0.0032881118,0.0035102163,0.0036041082,0.0005174579,0.0005096138,0.0005802522,0.0012106978,0.0011683194,0.0011908890,0.0006587911,0.0006900805,0.0006600645,0.0006216615,0.0005681347,0.0006515204,0.0005762385,0.0006212370,0.0003848265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WA3,0.0108909023,0.0108120033,0.0119729113,0.0089797169,0.0091192825,0.0097130277,0.0097290908,0.0086723204,0.0099799006,0.0096077798,0.0094682503,0.0060321717,0.0057372497,0.0054298973,0.0056627411,0.0054548937,0.0054963641,0.0054664650,0.0034018758,0.0033023500,0.0032960278,0.0033179792,0.0036703335,0.0037610517,0.0019199507,0.0019121633,0.0019916013,0.0017142317,0.0017678673,0.0017642517,0.0019912546,0.0020212664,0.0020026854,0.0019435902,0.0019506861,0.0020275001,0.0019303183,0.0019660165,0.0018175051,0.0018722501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WB3,0.0108728106,0.0108488686,0.0119482965,0.0089927135,0.0091241173,0.0096963734,0.0096362058,0.0086472755,0.0097330038,0.0095448640,0.0092731682,0.0060241707,0.0057391544,0.0054115966,0.0056591079,0.0054426203,0.0055023057,0.0054712181,0.0033920931,0.0032904318,0.0032881975,0.0033081742,0.0036632916,0.0037817681,0.0019245563,0.0019167184,0.0019573423,0.0017094497,0.0016708423,0.0017729929,0.0019961846,0.0020108568,0.0019913654,0.0019461367,0.0019548042,0.0020296651,0.0019373719,0.0019864475,0.0018134400,0.0018700989,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
