Indiv Population MDS
P002_WH05 P36 0.184054378613399
P002_WA06 P36 0.380182967593614
P002_WB06 P36 0.216895759271644
P002_WE06 P38 -0.00920254150477529
P002_WF06 P38 0.00804732407081018
P002_WG06 P39 0.201050950477496
P002_WH06 P39 0.134914303665871
P002_WB07 P40 0.336894548347534
P002_WC07 P40 0.306155387066781
P002_WE07 P41 -0.0764422198910198
P002_WF07 P41 -0.0941171720085925
P002_WG07 P41 -0.0508810708453191
P002_WB08 P43 -0.0466459806400999
P002_WC08 P43 -0.0462712048659204
P002_WG08 P45 -0.0793828169376571
P002_WH08 P45 -0.0898773791997584
P002_WB09 P46 0.0540724887966591
P002_WC09 P46 0.0775675557496214
P002_WD09 P46 0.0759568524755584

//end of file
